Date,Open,Close,Volume,Date_2
2010-06-29,1.266667,1.592667,281494500,2010-06-29
2010-06-30,1.719333,1.588667,257806500,2010-06-30
2010-07-01,1.666667,1.464,123282000,2010-07-01
2010-07-02,1.533333,1.28,77097000,2010-07-02
2010-07-03,1.533333,1.28,77097000,2010-07-03
2010-07-04,1.533333,1.28,77097000,2010-07-04
2010-07-06,1.333333,1.074,103003500,2010-07-06
2010-07-07,1.093333,1.053333,103825500,2010-07-07
2010-07-08,1.076,1.164,115671000,2010-07-08
2010-07-09,1.172,1.16,60759000,2010-07-09
2010-07-10,1.172,1.16,60759000,2010-07-10
2010-07-11,1.172,1.16,60759000,2010-07-11
2010-07-12,1.196667,1.136667,33037500,2010-07-12
2010-07-13,1.159333,1.209333,40201500,2010-07-13
2010-07-14,1.196,1.322667,62928000,2010-07-14
2010-07-15,1.329333,1.326,56097000,2010-07-15
2010-07-16,1.38,1.376,39319500,2010-07-16
2010-07-17,1.38,1.376,39319500,2010-07-17
2010-07-18,1.38,1.376,39319500,2010-07-18
2010-07-19,1.424667,1.460667,37297500,2010-07-19
2010-07-20,1.456667,1.353333,27379500,2010-07-20
2010-07-21,1.377333,1.348,18787500,2010-07-21
2010-07-22,1.366667,1.4,14367000,2010-07-22
2010-07-23,1.412667,1.419333,9804000,2010-07-23
2010-07-24,1.412667,1.419333,9804000,2010-07-24
2010-07-25,1.412667,1.419333,9804000,2010-07-25
2010-07-26,1.433333,1.396667,13833000,2010-07-26
2010-07-27,1.394,1.37,9295500,2010-07-27
2010-07-28,1.37,1.381333,7008000,2010-07-28
2010-07-29,1.384667,1.356667,9240000,2010-07-29
2010-07-30,1.346667,1.329333,6403500,2010-07-30
2010-07-31,1.346667,1.329333,6403500,2010-07-31
2010-08-01,1.346667,1.329333,6403500,2010-08-01
2010-08-02,1.366667,1.394667,10771500,2010-08-02
2010-08-03,1.4,1.463333,18457500,2010-08-03
2010-08-04,1.463333,1.417333,13695000,2010-08-04
2010-08-05,1.436,1.363333,11943000,2010-08-05
2010-08-06,1.34,1.306,11128500,2010-08-06
2010-08-07,1.34,1.306,11128500,2010-08-07
2010-08-08,1.34,1.306,11128500,2010-08-08
2010-08-09,1.326667,1.306667,12190500,2010-08-09
2010-08-10,1.31,1.268667,19219500,2010-08-10
2010-08-11,1.246,1.193333,11964000,2010-08-11
2010-08-12,1.186667,1.173333,10365000,2010-08-12
